"title","weekendGross","totalGross","weeksReleased","rating"
"1. Kung Fu Panda 4","$58M","$63M","1","6.6 (5.2K)"
"2. Dune: Part Two","$46M","$162M","2","8.9 (205K)"
"3. Imaginary","$9.9M","$11M","1","4.9 (2.2K)"
"4. Cabrini","$7.2M","$7.9M","1","8.1 (1.4K)"
"5. Bob Marley: One Love","$4.1M","$90M","4","6.5 (13K)"
"6. Ordinary Angels","$2M","$16M","3","7.8 (1.4K)"
"7. Madame Web","$1.1M","$43M","4","3.7 (33K)"
"8. Migration","$1.1M","$125M","12","6.7 (19K)"
"9. Yolo","$828K","$911K","1","6.8 (891)"
"10. Episode #4.7","$745K","$3.3M","2","8.9 (63)"
